SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA-76-4929-01A,0,0.020104306,0,0.024706898,0,0.019656729,0,0.014292485,0.016818432,0,0.001423645,0.014317948,0.044852726,0.205538548,0.020672099,0.459726648,0,0,0.112801196,0,0.026228426,0.018859914,WT
TCGA-06-5859-01A,0.048494011,0,0.003391245,0.015611423,0,0.163008481,0,0.005444892,0,0.018252663,0,0.009235599,0.147490917,0,0.030999344,0.521687382,0,0,0,0.031273176,0.001454055,0.00365681,WT
TCGA-28-5215-01A,0.034285831,0,0.014860302,0.029696913,0,0.038891884,0,0.048649201,0,0,0,0.040895814,0.231064068,0.081597199,0.057237875,0.279904759,0,0,0,0.113077978,0.028203539,0.001634637,WT
TCGA-06-5415-01A,0.028953208,0,0.000712786,0.101551852,0,0.133367412,0,0.018198144,0,0.000935901,0.002615402,0,0.06901305,0.222410288,0.036417782,0.368015728,0,0,0,0.016074703,0,0.001733743,WT
TCGA-15-0742-01A,0.00329077,0.005996491,0.000927501,0,0,0.105920762,0.000684261,0.047846852,0.039305369,0,0.10979101,0.01288265,0.047436864,0.25185091,0.009682181,0.281277117,0,0,0,0.003596158,0,0.079511105,WT
TCGA-19-5960-01A,0,0.021509355,0.010790368,0.027488584,0,0.169863451,0,0.137549979,0,0,0.010152611,0.095827148,0.109365642,0,0.038891264,0.315771392,0.00562136,0,0,0.011082563,0.046086284,0,WT
TCGA-27-2528-01A,0.001634424,0.000985166,1.14E-05,0,0,0.059010222,0,0.043490003,0.017724777,0,0.064880375,0,0.0085538,0.475524786,0.013310565,0.273004032,0,0,0,0.041870436,0,0,WT
TCGA-19-2624-01A,0.008013296,0,0,0.024363309,0,0.051547631,0,0.133533786,0,0,0,0.063345932,0.076490487,0.049711283,0.08451935,0.317573164,0,0,0,0.154883582,0.036018181,0,WT
TCGA-41-5651-01A,0.026711673,0,0,0.092833278,0,0.02368755,0,0.035318155,0,0,0.014410129,0.004178988,0.052665182,0.372121306,0.072191969,0.275904495,0,0,0,0,0,0.029977275,WT
TCGA-02-2483-01A,0.009351681,0,0,0.019872852,0,0.047733753,0,0.020258277,0,0.009219837,0,0.021466195,0.217228629,0.044988686,0.036683989,0.457909144,0,0,0,0.072538374,0.020643752,0.022104832,WT
TCGA-06-5413-01A,0.002848926,0.026233104,0,0.038136594,0,0.079977966,0.012143692,0,0.009616269,0,0.046325639,0,0.104689971,0,0.009277382,0.592850083,0,0,0.036751085,0,0,0.04114929,WT
TCGA-14-1823-01A,0.010074327,0.007949067,0.000325085,0.049635732,0,0.142045931,0.016123503,0,0.014321034,0,0.047365077,0,0.306086672,0,0.03397287,0.319743764,0.000738848,0,0,0.028300908,0.002643396,0.020673787,WT
TCGA-76-4926-01B,0,0.016625852,0.005756362,0.033944495,0,0.100462246,0,0.016985209,0.021013584,0,0.015509642,0.021259271,0.251903554,0.018295252,0.021459601,0.31456649,0,0.001742274,0.140670008,0,0,0.01980616,WT
TCGA-02-2486-01A,0.006869274,0.011417954,0,0.110513351,0,0.009903711,0.030782806,0,0.025833484,0,0.036142203,0,0.377545733,0,0.029414268,0.24813523,0.003422263,0.00665731,0.064508926,0,0,0.038853489,WT
TCGA-19-2629-01A,0.003013534,0.014179477,0,0,0,0.117484937,0,0,0.009168557,0.00517953,0,0.024936342,0.300295284,0,0.028593928,0.377637026,0,0.002372498,0.111047509,0,0.001215212,0.004876166,WT
TCGA-27-2521-01A,0.010213254,0,0.012214532,0,0.011219583,0.013711196,0.011250385,0,0,0.019781527,0.0117626,0,0.260890282,0,0.010364863,0.559895492,0,0,0.071078846,0,0,0.007617442,WT
TCGA-28-5204-01A,0.000790602,0.018815882,0,0,0,0.211974697,0,0.017761157,0.00721535,0,0.033518748,0.002373068,0.083299348,0.012885838,0.095549962,0.471558501,0,0.010325524,0.01756699,0,0,0.016364333,WT
TCGA-12-3653-01A,0,0.001699839,0,0,0,0.270266814,0,0.010993944,0.004128908,0,0,0.033086865,0.111935137,0.00855132,0.071339534,0.305498347,0,0.005298728,0.157904533,0,0,0.019296032,WT
TCGA-06-2562-01A,0.003326763,0.006042422,0.000162067,0.033634015,0,0.081453303,0,0.022709718,0.026971196,0,0.117332798,0,0.119666896,0.28448075,0.005740127,0.230186327,0,0,0,0.047437949,0,0.020855668,WT
TCGA-26-5133-01A,0.062051657,0,0,0.127801395,0,0.025913513,0,0.014521864,0.012253903,0,0.007505308,0.035423665,0.17289045,0,0.033451745,0.412323689,0.00071607,0,0.091444688,0,0,0.003702051,WT
TCGA-12-5295-01A,0.01646302,0,0,0.076040923,0,0.156577247,0.005865749,0.007916827,0.001041547,0.003637707,0.020917698,0,0.083928462,0,0.024981213,0.566710819,0,0,0.022323606,0,0.012925909,0.000669274,WT
TCGA-28-5220-01A,0.002799324,0.00460564,0,0.0386129,0,0.069431809,0.000688841,0,0.007230461,0,0.015144715,0,0.284330977,0,0.046502142,0.416200591,0,0,0.109281307,0,0,0.005171295,WT
TCGA-06-5416-01A,0.003658949,0.005089993,0,0.181851543,0,0.008633124,0,0.042986085,0,0,0.05808967,0.003254702,0.011057732,0.480087568,0.026120804,0.157499021,0,0,0.008887239,0,0,0.012783571,WT
TCGA-06-0745-01A,0.001377335,0.002110175,0,0,0,0.081577619,0,0.019100864,0.00703002,0,0.046644304,0.007564116,0.053560821,0.207754654,0.021261142,0.457100426,0,0,0,0.060472144,0.01957994,0.014866441,WT
TCGA-02-0047-01A,0.002194076,0.009920755,0,0,0,0.076800745,0,0.029990767,0.027320626,0,0.04762532,0.00235826,0.035476076,0.336928708,0.013103176,0.403901993,0,0,0,0.001329587,0,0.01304991,WT
TCGA-14-2554-01A,0.000567723,0.003030347,0,0.061417254,0,0.189719299,0.005912582,0,0.008655717,0,0.045953085,0.008626997,0.26299109,0,0.007671498,0.331174426,0,0.005170522,0,0.03132833,0.026973507,0.010807623,WT
TCGA-06-2569-01A,0.066689302,0,0.00382954,0.04053042,0,0.139055569,0,0.063455286,0.00156806,0,0,0.026702927,0,0.209991707,0.033252647,0.403634837,0,0,0,0,0,0.011289704,WT
TCGA-41-2572-01A,0,0.007248924,0,0,0,0.081528053,0,0.008156837,0.005507051,0.00849058,0,0.047360587,0.107720326,0.104723882,0.044215134,0.32450192,0,0,0.221615095,0,0.026462668,0.012468945,WT
TCGA-06-2570-01A,0.01392659,0,0.000708972,0,0,0.038597233,0,0.002306808,0,0,0.028072582,0,0.141463786,0.198680712,0.035507372,0.431601706,0,0,0.02392228,0,0.025834965,0.059376992,WT
TCGA-06-2563-01A,0.001127424,0,0,0,0,0.197391879,0,0.016505917,0.045764134,0.017989419,0,0.026124665,0,0.137031712,0.146713844,0.301630443,0,0,0.060534615,0,0,0.049185948,WT
TCGA-27-1830-01A,0.028744619,0,0.004489617,0.04381942,0,0.005165622,0,0.046468932,0.00137041,0.007366548,0,0.042017095,0.079895395,0.199724677,0.032644246,0.258389336,0,0,0,0.186730485,0.031451242,0.031722356,WT
TCGA-26-5135-01A,0.009146601,0.007831088,0,0.026109171,0,0.069970924,0,0.004715518,0.033424592,0,0.04823461,0.014301858,0.001824435,0.487724476,0.023186924,0.224796843,0,0,0,0.033212985,0,0.015519974,WT
TCGA-06-0646-01A,0.000818536,0,0,0.000790086,0,0.019121823,0,0.022655723,0,0,0,0.037488743,0.292665861,0.10608203,0.041478191,0.142902296,0,0,0,0.259136023,0.069641077,0.007219613,WT
TCGA-06-0132-01A,0.024214241,0,0.000220274,0.029215935,0,0.060879617,0,0.009763296,0,0,0.006579608,0.001773253,0.317363846,0,0.028733921,0.471307456,0,0,0,0.043222657,0,0.006725897,WT
TCGA-06-0141-01A,0.008607429,0,0,0.013241884,0,0.066861628,0,0,0,0,0.048982953,0,0.199482294,0.065741143,0.010767067,0.516931345,0,0.011778058,0.019466225,0,0,0.038139974,WT
TCGA-14-0787-01A,0,0.016402777,0,0.050917901,0,0.070397982,0.004377511,0.003604481,0.005143037,0,0,0.024922153,0.186385423,0.064832731,0.066454653,0.397785945,0,0,0.092162722,0,0,0.016612684,WT
TCGA-28-2499-01A,0.003472084,0,0,0.048117707,0,0.123974928,0,0.009567082,0.021515586,0,0.060340811,0.003858301,0.117539369,0,0.023743744,0.469581579,0,0,0.108325039,0,0,0.00996377,WT
TCGA-28-2509-01A,0,0.019420532,0,0.055005521,0,0.131038355,0.012288042,0.012913838,0,0,0.074410003,0,0.248746043,0,0,0.227037263,0.012755046,0.004977665,0.168716455,0,0.008308463,0.024382776,WT
TCGA-06-0878-01A,0.001434549,0.013503193,0,0,0,0.066234482,0,0.02397899,0.025842475,0.033081311,0.071979993,0,0,0.492512702,0.013809905,0.150964808,0,0,0,0.086972899,0.003296653,0.01638804,WT
TCGA-28-5208-01A,0.023414528,0,0.003439528,0,0,0.059431933,0,0.053726683,0.004921661,0.040833277,0,0.04131527,0.235649053,0.057047771,0.034148337,0.335306163,0,0,0.104189781,0,0,0.006576014,WT
TCGA-06-0645-01A,0.0070714,0.005594163,0,0,0,0.086283279,0,0.011685887,0.015160823,0,0.054115989,0,0.243448342,0.014334716,0.014033815,0.351671296,0,0,0,0.161250742,0.012280092,0.023069456,WT
TCGA-12-0616-01A,0.033710185,0,0.001051276,0.170297112,0,0.125413097,0,0.059513002,0.000285215,0,0,0.002395446,0.160308936,0,0.062357136,0.350763247,0,0.000192186,0.017182427,0,0,0.016530735,WT
TCGA-06-0238-01A,0.017885543,0,0.000832245,0.018037932,0,0.061189816,0,0.026194155,0,0.02690601,0,0.039800954,0.132549956,0,0.023996956,0.511787088,0,0,0,0.065920335,0.071706758,0.003192251,WT
TCGA-06-2567-01A,0,0,0,0.007443697,0,0.085109469,0,0.047023435,0,0,0,0.08640703,0.309215364,0.036101742,0.023682948,0.2536523,0,0,0,0.027307857,0.004296647,0.119759509,WT
TCGA-19-2620-01A,0,0,0,0.019594174,0,0.040978456,0,0.046226893,0,0,0,0.055384869,0.380354642,0.041201617,0.055681809,0.161383107,0,0,0,0.158116523,0.040506184,0.000571726,WT
TCGA-06-5414-01A,0.002161834,0.001570135,0,0.027535678,0,0.107592145,0,0.012191347,0.028083207,0,0.08283744,0,0.110145642,0.158364226,0.021114639,0.393078098,0,0,0,0.032328159,0,0.022997449,WT
TCGA-06-5856-01A,0.009112731,0,0.001396591,0,0,0.054615874,0,0.007037219,0,0,0.003081151,0.016025757,0.260344805,0.033279468,0.037136633,0.51974895,0,0,0.043862522,0,0,0.0143583,WT
TCGA-06-5408-01A,0.000433999,0.003983214,0.007033523,0.008059855,0,0.017126939,0,0.029827977,0.023916513,0.019015676,0,0.075067239,0.121102149,0.026347772,0.026963985,0.476934787,0.014025426,0,0.074974375,0,0,0.075186572,WT
TCGA-06-5417-01A,0,0,0,0,0.026025596,0.097419706,0,0.004703327,0,0,0.003887434,0.01248504,0.074916013,0,0.002918859,0.635152664,0,0,0.113687371,0,0,0.028803991,WT
TCGA-12-3650-01A,0,0.001601121,0,0,0,0.061893005,0,0.013328761,0.004449146,0,0.008786127,0,0.070279454,0.076061458,0.002373442,0.660476969,0,0,0.089697159,0,0,0.011053359,WT
TCGA-06-2557-01A,0.032834186,0,0.008091352,0.044181951,0,0.089928424,0,0.04303286,0.004323422,0.020411072,0,0.059394631,0.219671441,0,0.068236348,0.375676116,0,0,0,0.026032978,0.004151758,0.004033461,WT
TCGA-26-5134-01A,0,0.003189852,0,0.005781111,0,0.084839602,0,0.024212009,0,0,0.020878504,0.001957309,0,0.385286191,0.086919602,0.372471844,0,0,0.005107893,0,0.005309461,0.004046621,WT
TCGA-14-0789-01A,0.000787991,0.008049653,0,0.021996465,0,0.072023469,0,0.009323759,0.037659516,0,0.162924093,0,0.087662845,0.234740119,0.003367882,0.208289973,0,0,0,0.132239772,0.005665907,0.015268555,WT
TCGA-27-2523-01A,0.029290728,0,0,0.024335662,0,0.008013438,0,0.014372588,0,0.003772736,0.000380335,0.003530686,0,0.453945417,0.022430581,0.399860213,0,0,0.027091641,0,0.012975974,0,WT
TCGA-14-1829-01A,0.00413948,0,0.000304165,0.018859478,0,0.121800226,0,0.016791712,0,0.002950166,0.011109392,0,0.295568088,0,0.033697323,0.38310743,0,0,0,0.011270885,0.093256682,0.007144974,WT
TCGA-08-0386-01A,0,0.004813176,0.000339474,0,0.029929292,0.084492995,0,0.021129072,0.003729178,0,0.10921747,0,0.239393153,0.162573175,0.014720727,0.096615849,0,0,0.083191474,0,0.044349843,0.105505121,WT
TCGA-32-1980-01A,0.012753881,0,0.000300775,0.015447058,0,0.049565244,0,0.020806718,0,0,0,0.046144522,0.173929333,0.256194265,0.03314513,0.325156376,0,0,0,0.063296182,0.003260516,0,WT
TCGA-06-0129-01A,0.058998932,0,0.000292527,0.014053405,0,0.097663436,0,0.004602593,0,0,0,0.055438079,0.218217467,0,0.03282104,0.433020843,0,0,0,0.081568004,0.001919126,0.001404546,WT
TCGA-12-0821-01A,0.000580812,0.008884182,0,0.036731144,0,0.041720202,0,0.034883837,0.04003984,0,0.063174194,0,0.004073479,0.469738053,0.018892097,0.263807515,0,0,0.010502604,0,0,0.00697204,WT
TCGA-28-5213-01A,0.001317354,0.00741486,0,0.061953405,0,0.062690664,0.018587193,0,0.035526577,0,0.056123693,0,0.288570672,0,0.009557261,0.268806924,0,0.0001871,0,0.078862378,0,0.110401919,WT
TCGA-26-1442-01A,0.001237608,0.00483343,0,0.027431853,0,0.082178467,0,0.012232032,0.072195675,0,0.067302963,0.014227583,0.266234411,0.004107786,0.027038064,0.209615327,0,0,0.211183151,0,0.000181649,0,WT
TCGA-06-0158-01A,0,0.014598857,0,0,0,0.094999063,0,0.026074461,0.040036228,0,0.064092906,0,0.038880507,0.334377606,0.011989616,0.344217041,0,0,0,0.005450185,0,0.025283531,WT
TCGA-06-0174-01A,0.004215161,0,0,0,0,0.040717363,0,0.002958944,0,0,0.018561537,0.002509276,0.057928036,0.440625249,0.053075687,0.336045316,0,0,0.005714457,0,0,0.037648973,WT
TCGA-76-4928-01B,0.008497813,0,0.01065423,0.037676457,0,0.105192332,0.075194842,0.010791172,0.018490278,0,0.067264368,0,0.313104842,0.020023556,0.00391938,0.269618556,0.009044224,0,0.026775632,0,0,0.023752319,WT
TCGA-06-0130-01A,0.008615443,0,0.001270604,0.003913472,0,0.179314016,0,0.004370317,0.020319742,0.031125943,0,0.040632321,0.189651,0,0.107288728,0.397872915,0.00735257,0,0,0.003725065,0,0.004547864,WT
TCGA-28-2514-01A,0.007857702,0.002088521,0,0,0,0.241732138,0,0.012720367,0.011516639,0,0.106342355,0.043503195,0.033309625,0.258929068,0.025811394,0.141109209,0,0,0.065019731,0,0,0.050060056,WT
TCGA-28-1747-01C,0.003467232,0,0.000994651,0.022866317,0,0.188716037,0,0,0.010626546,0,0.011454364,0.036282558,0.309580013,0,0.064299135,0.255852126,0,0,0.049269122,0,0.041177437,0.005414461,WT
TCGA-12-0618-01A,0,0.012377831,0,0,0,0.162534094,0,0.066661414,0.001105601,0,0.164725734,0.001963492,0.100145471,0.079811988,0.00070185,0.251224788,0.01015412,0,0.089031545,0,0,0.059562072,WT
TCGA-06-0750-01A,0.011483824,0,0.005212037,0.024270227,0,0.086114764,0,0.023429346,0.002701141,0,0,0.059608087,0.16551853,0.059260037,0.09007115,0.348292765,0,0,0,0.033686827,0.014104619,0.076246644,WT
TCGA-06-0747-01A,0,0.014957135,0.001094047,0.091544216,0,0.086033757,0,0.107389318,0.00634855,0,0.104825021,0.026508729,0.123400055,0,0.008550906,0.2393758,0,0.009268742,0,0.128463311,0,0.052240412,WT
TCGA-06-5410-01A,0.006672924,0.006082191,0,0.020008573,0,0.023268382,0.014034448,0,0.01195861,0,0.067893919,0,0.169599219,0,0.004011347,0.587830005,0.002560999,0,0,0.032263476,0,0.053815909,WT
TCGA-27-1832-01A,0.012478892,0,0.004960259,0.057691629,0,0.157647894,0,0.021722077,0.036144722,0,0.020902826,0,0.373508743,0,0.026249224,0.288541938,0,0.000151797,0,0,0,0,WT
