"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sec24c",7.29844182617486e-09,0.326362478956304,0.7,0.479,0.000161390444102205
"Haus4",8.65391350521655e-09,-0.274896054715675,0.093,0.283,0.000191363989340854
"Ccl8",9.17226010618555e-09,0.364967760741136,0.111,0.006,0.000202826187728081
"Rpl39",1.04327183339942e-08,-0.277276999190993,1,1,0.000230698700519613
"Klf7",1.10403217905762e-08,0.297036919345652,0.811,0.584,0.000244134635755012
"Msl2",1.16446457100526e-08,0.433506031154943,0.282,0.099,0.000257498050586394
"Col3a1",1.21057265576932e-08,0.357662121536979,0.164,0.03,0.00026769393137027
"Sdcbp",1.78163393376279e-08,0.25169384781882,1,1,0.000393972711772965
"Apeh",1.92560017249798e-08,-0.262759567514938,0.412,0.642,0.000425807966144479
"Prrc2a",2.0640217663818e-08,0.301750001353683,0.997,0.991,0.000456417133200008
"Atl3",2.28433636325834e-08,0.431168769225707,0.594,0.367,0.000505135300007316
"Wapl",2.4533621128474e-08,0.288923015804102,0.997,0.994,0.000542511964013945
"Nfkbia",2.9411818686931e-08,0.670513246208405,1,0.997,0.000650383546624105
"Ascc3",3.10165429646235e-08,0.328547244157009,1,0.988,0.00068586881457672
"Rhbdd2",3.12820051970194e-08,-0.305714894819033,0.164,0.358,0.00069173898092169
"Srgap2",3.14968049609626e-08,0.319154994985388,0.994,0.991,0.000696488848101766
"R3hdm1",3.22459483077378e-08,0.285855436882437,1,0.991,0.000713054654929005
"Jarid2",3.92134444367885e-08,0.43588426916756,1,0.991,0.000867126896830703
"Map2k1",4.16191164618758e-08,0.254971374736485,1,0.97,0.000920323522321459
"Ext1",4.50083242998532e-08,0.412582544842127,1,1,0.000995269075242654
"Paxbp1",4.9769614784496e-08,0.428214364570653,0.827,0.672,0.00110055549172956
"2810006K23Rik",5.56441251971672e-08,-0.276824588142255,0.08,0.241,0.00123045854048496
"Herc4",6.28274288223109e-08,0.381597545421622,0.963,0.861,0.00138930293354776
"Nipbl",6.29471114552246e-08,0.349455255458516,0.997,0.994,0.00139194947560938
"Mycbp2",6.90215381372618e-08,0.32401273651547,0.997,0.985,0.00152627327282927
"Pvr",8.5504406423973e-08,0.295110262781993,0.192,0.051,0.00189075893925332
"Fam49b",9.39154006093765e-08,0.343055385211315,1,1,0.00207675125367514
"Foxn3",9.88243721404774e-08,0.414291261554236,1,0.991,0.00218530334114238
"Rplp1",1.11883236083978e-07,-0.268162968962311,1,1,0.002474073999525
"Gbp7",1.14981590210985e-07,0.306915955305024,0.449,0.211,0.00254258790433551
"Hsd17b4",1.18997381107768e-07,-0.251225932033068,0.372,0.584,0.00263138908843607
"Rab1a",1.25919230026548e-07,0.274829370152164,1,1,0.00278445193357705
"Unk",1.31010389362867e-07,0.264674634403717,0.276,0.111,0.00289703273998107
"Snx25",1.3266021341826e-07,0.435154406267875,0.22,0.072,0.00293351529931799
"Rbpj",1.36837890707713e-07,0.350069572486815,0.994,0.988,0.00302589627721966
"Kdm5a",1.5096182058153e-07,0.304650103455526,1,1,0.00333821873851937
"Swap70",1.87798130668675e-07,0.325051295515248,0.969,0.898,0.00415278006347641
"Kmt2e",1.89031371265103e-07,0.312445133175245,1,1,0.00418005071278522
"Zfp277",2.64474917285975e-07,0.339841241889067,0.313,0.142,0.00584833384594476
"Smurf1",2.82010559805661e-07,0.285348871481517,0.824,0.648,0.00623609950898258
"Timmdc1",3.40754369796873e-07,0.250571449967503,0.44,0.244,0.00753510137931824
"Peli1",3.66968459451874e-07,0.368141281197855,1,0.991,0.0081147735438593
"Umps",3.86288014388671e-07,-0.29659681962372,0.059,0.196,0.00854198686217667
"Iffo2",4.01494500562254e-07,0.314239449861409,0.768,0.599,0.00887824789093313
"Arih1",4.73172430809881e-07,0.304989382717233,1,1,0.0104632619624989
"Pan3",4.97520745460098e-07,0.264114200683819,1,0.988,0.0110016762443591
"Insr",5.011959219202e-07,0.314807041569283,0.18,0.051,0.0110829454214214
"Nup43",5.63193891016317e-07,-0.256241157332839,0.115,0.268,0.0124539065120438
"Trp53bp2",5.88909233387803e-07,0.277961053075563,0.288,0.127,0.0130225498779045
"Cmip",6.16136423174137e-07,0.355224718290326,0.997,1,0.0136246247256497
"Rps15a",6.37005695885635e-07,-0.251589191808796,1,1,0.0140861069531191
"Smg1",6.84957803790274e-07,0.286211909205717,1,0.979,0.0151464719152143
"Mdfic",7.15983266679918e-07,0.333872545760702,0.78,0.578,0.015832537976093
"Fbxl3",7.32155796741869e-07,0.314508917883583,0.291,0.12,0.0161901611333529
"Malt1",7.91737221906779e-07,0.573081276734074,0.613,0.389,0.0175076851880246
"Fbxo11",7.96346640157313e-07,0.458435924723461,0.997,0.988,0.0176096132537987
"Esyt2",8.05561109314814e-07,0.337072208031714,0.997,0.982,0.0178133728102785
"Rps20",9.09381602023141e-07,-0.283493731270672,1,1,0.0201091553655377
"Arid4b",9.72813938821262e-07,0.312129824455623,1,0.997,0.0215118346291546
"Kdm2b",1.01242548972154e-06,0.282855896785166,0.746,0.464,0.0223877648542123
"Cpsf7",1.18282814356505e-06,0.311245495990218,0.229,0.084,0.0261558787386539
"Usp7",1.21762670995788e-06,0.267203203105227,0.994,0.991,0.0269253794372987
"Arf4",1.42578694371272e-06,0.339538703346323,1,0.997,0.0315284266863194
"Tut4",1.61474470772789e-06,0.324559363208285,1,0.997,0.0357068497219868
"Mapkapk2",1.73616816413321e-06,0.254939382304233,1,0.997,0.0383918866134778
"Btg2",1.75343972988826e-06,0.26872520409684,0.907,0.527,0.038773812747019
"Tet2",1.81221493541636e-06,0.299335807648593,0.985,0.91,0.0400735088668619
"Dennd4a",2.01843377379331e-06,0.504119935736346,1,0.997,0.0446336260398914
"Akap13",2.04345174660325e-06,0.463245601452809,1,1,0.0451868484726376
"Zmym5",2.11917014192514e-06,0.311035562920574,0.471,0.292,0.0468612093483906
"Gpbp1",2.32395482437602e-06,0.251034913613593,0.997,0.985,0.051389613031427
"Ythdc1",2.40233030922059e-06,0.361419405118762,1,1,0.0531227301277948
"Oga",2.45565731092835e-06,0.294347119826241,1,0.991,0.0543019501165586
"Wipf1",2.70983767897386e-06,0.251259980902236,0.749,0.482,0.0599226405951489
"Ankrd11",2.73030419112214e-06,0.277576427912419,1,1,0.060375216578284
"Zfp644",2.75118485813387e-06,0.331243797375006,0.991,0.979,0.0608369507679143
"St7l",2.77831771066961e-06,0.402598064783389,0.359,0.202,0.0614369395360371
"Rev3l",2.77976983417538e-06,0.341788379459819,1,0.988,0.0614690503431203
"Mdm2",2.82349572552876e-06,0.325288101818964,0.985,0.952,0.0624359609786175
"Lin37",2.88046512092081e-06,-0.287925581375505,0.111,0.259,0.0636957252189219
"Arid5b",2.8866819388477e-06,0.386290895674883,1,0.994,0.0638331977137391
"Myh9",2.9544658076957e-06,0.334477779366523,1,1,0.065332102405575
"Fam117b",3.21643933974313e-06,0.308079623047737,0.981,0.892,0.0711251231197398
"Zeb2",3.60112736024258e-06,0.270834616447454,1,0.997,0.0796317293170442
"Xpo4",4.0757180292053e-06,0.270193551137746,0.344,0.178,0.0901263527798168
"Actr3",4.39568017763815e-06,0.27453765630271,1,1,0.0972016757681125
"Zfp516",4.9266538088208e-06,0.251477249469853,0.889,0.762,0.108943095674454
"Cdk8",5.33443629475407e-06,0.364123853650709,0.997,0.997,0.117960389785897
"Nfat5",6.16989501786713e-06,0.346689323632733,1,1,0.136434888530096
"Tank",6.35227300366593e-06,0.540960350073836,0.994,0.982,0.140467812930065
"Plk4",6.81439908667978e-06,-0.355107391577178,0.13,0.271,0.15068680700375
"Dock10",8.37497474373983e-06,0.531622242479718,0.997,0.994,0.185195816508319
"Usp34",9.32910936213065e-06,0.254789439831906,1,1,0.206294595324795
"Hnrnph3",9.48286442746307e-06,0.29752704846227,0.712,0.548,0.209694581084491
"Dock11",9.72028114650396e-06,0.258395564684639,0.526,0.304,0.214944576992642
"Aopep",9.749964762344e-06,0.500636161792338,1,0.991,0.215600970789713
"Nkapd1",1.07235186036249e-05,-0.263656845667916,0.669,0.813,0.237129166881957
"Smad4",1.28301818210134e-05,0.30505049703071,0.991,0.985,0.283713810608069
"Ppp4r3a",1.29144501469464e-05,0.289168676012312,0.997,0.979,0.285577236099426
"Baz1a",1.39207135623918e-05,0.323373341253979,1,1,0.307828739005169
"Huwe1",1.44375262778249e-05,0.318524318175195,0.994,0.991,0.319257018581542
"Junb",1.51271118042035e-05,0.381115206459681,1,1,0.334505823326352
"Dip2b",1.55129349808227e-05,0.264169053368226,1,0.991,0.343037531230933
"Fbrsl1",1.66623081297102e-05,0.344641880460893,0.31,0.16,0.368453619672281
"Srgn",1.68254625121859e-05,0.526361842976827,0.997,0.979,0.372061452531968
"Cyth1",1.70750990457631e-05,0.284442922905488,0.526,0.316,0.37758166519896
"Klhl2",1.95012775695486e-05,0.312424876964994,0.789,0.663,0.431231750895429
"Ezr",2.05594065458166e-05,0.288098559725724,0.994,0.994,0.454630156947642
"Mapk1",2.12220318673326e-05,0.290241503804675,1,0.997,0.469282790682326
"Hivep1",2.20635316591639e-05,0.65793975344022,0.285,0.16,0.487890875579092
"Brd4",2.27426893980847e-05,0.26800027619843,1,1,0.502909090659846
"Kdm6a",2.53740834209326e-05,0.274752549739002,0.994,0.991,0.561097106687083
"Arhgap17",2.55853829979472e-05,0.259525900070665,0.932,0.84,0.565769574233605
"Msi2",2.58891426096735e-05,0.327246172150021,1,0.997,0.57248661052771
"Itgav",2.76514680655025e-05,0.45491880048621,1,0.994,0.611456913332458
"Usp40",2.81890875918637e-05,0.293523483201318,0.26,0.133,0.623345293918882
"Ubl3",2.87500523216527e-05,0.259960287240627,1,0.997,0.635749906988707
"Nptn",3.13590010787143e-05,0.25466196762385,1,0.985,0.693441590853608
"Zc3hav1",3.45362397999099e-05,0.496142572641604,1,1,0.763699870695408
"Gm2a",3.78459668479489e-05,0.282430618348014,0.978,0.922,0.836887864908695
"Tes",4.08945934171652e-05,0.282620721443008,0.997,0.997,0.904302144233773
"Gm19951",4.18495732690873e-05,0.640166391568998,0.232,0.117,0.925419613699328
"mt-Nd6",4.87276906246518e-05,0.262571218957723,0.158,0.057,1
"Zfp1",5.38965631451848e-05,0.272572165481617,0.387,0.235,1
"Neat1",5.65930621773634e-05,0.282574130619521,1,1,1
"Slc3a2",7.54860318958609e-05,0.321038366425475,1,1,1
"Aftph",8.82288158211741e-05,0.327939182869897,0.932,0.837,1
"Racgap1",8.9281531943016e-05,-0.28965854859996,0.935,0.985,1
"N4bp1",9.12635871595959e-05,0.371376519717293,0.935,0.886,1
"Uvrag",9.5548178017606e-05,0.363574903280147,1,0.985,1
"Wnk1",9.66471633958999e-05,0.391148819136105,1,1,1
"Rsrp1",0.000102909726253216,0.267970077703232,1,0.988,1
"Rsrc2",0.000103715420140537,0.27783627675246,1,1,1
"Klra7",0.000119410887569143,-0.576105330454033,0.043,0.13,1
"Ipmk",0.000122495102357283,0.263729848142218,0.331,0.19,1
"Armc8",0.000124141393816736,0.259094213939111,0.18,0.075,1
"Usp53",0.000133861674427528,0.417308966117813,0.133,0.048,1
"Jund",0.000180445313268083,0.282732617865271,1,1,1
"Ncoa2",0.000198533074737082,0.30300772005213,0.997,0.994,1
"Rora",0.000225195976004035,0.291414686950737,1,0.997,1
"Itpr1",0.000227457521995161,0.272617196227638,1,1,1
"Fam193a",0.000235020615125228,0.255162526828856,0.991,0.982,1
"Abi1",0.000236244854319413,0.256150013999124,1,0.997,1
"Peak1",0.000243875993011668,0.284004929462018,0.988,0.913,1
"Fam129a",0.000249313071986239,0.420057961875396,0.313,0.187,1
"Lyst",0.000268192991648421,0.274165057071937,1,0.988,1
"Btg1",0.000268863934369181,0.288991907139728,1,0.991,1
"Samsn1",0.00028440988748428,0.606387818755248,0.449,0.328,1
"Ttc14",0.000292502881035018,0.256280459607046,0.997,0.991,1
"Sh3kbp1",0.000293632205968062,0.406149293458819,0.997,0.997,1
"Dlg1",0.000307526725289775,0.335401451074168,0.997,0.979,1
"Cbl",0.000308745684427495,0.283503095510161,0.972,0.946,1
"Antxr2",0.000311138314754346,0.341195671542341,0.248,0.13,1
"Cdk12",0.000311694360630598,0.279224509662805,0.994,0.994,1
"Tmsb4x",0.000332766169293752,0.516095428839543,1,1,1
"Usp38",0.000364251579099519,0.367974942738513,0.288,0.166,1
"Rras2",0.000367348941852437,0.331447505355974,0.313,0.181,1
"Gls",0.000395405104136304,0.251451567585291,1,1,1
"Fndc3a",0.000401591135489928,0.264260253470426,0.994,0.994,1
"Atp9b",0.000402017756627889,0.298310019369801,0.981,0.943,1
"Sos1",0.000406903021176142,0.257485430670428,0.653,0.533,1
"Cd86",0.00043581703380227,0.478116242066666,0.111,0.039,1
"Gstp3",0.000449883936837844,0.485011112788642,0.189,0.096,1
"Txnip",0.000475643432349377,0.276319298238056,0.926,0.898,1
"Pde4b",0.000504185159748736,0.420882021488051,0.981,0.934,1
"Metrnl",0.000524911959302052,0.336460494471218,0.124,0.048,1
"Elmsan1",0.000573081870983691,0.349226068423824,0.929,0.858,1
"Fam107b",0.000600891047326253,0.575335236635956,0.613,0.557,1
"Themis",0.000628959527461076,0.757463570474294,0.39,0.289,1
"Zranb1",0.000671048364803818,0.250055593759737,0.978,0.964,1
"Lncpint",0.000693279766913761,0.337517535421997,1,1,1
"Ptger4",0.000734687942084914,0.585336428640716,0.167,0.084,1
"Cd7",0.000736639175109274,-0.80834782990195,0.093,0.175,1
"Aff1",0.000750044446692696,0.262256392611263,0.972,0.886,1
"Stat3",0.00076247228547498,0.315352675129676,1,1,1
"S100a10",0.000771887024387021,0.312126337153751,1,1,1
"Tmcc1",0.000781492090740556,0.292513850213718,1,0.988,1
"Ttc39c",0.000784792266828375,0.425142300317828,0.167,0.081,1
"Zcchc7",0.000785364938384302,0.272190079555773,1,0.994,1
"Il10ra",0.000793101937580576,0.450986407089252,0.22,0.123,1
"Chd7",0.000810824123338889,0.434399561786858,0.449,0.34,1
"Tasor",0.000896582705031895,0.32829257982829,0.183,0.09,1
"Kdm3b",0.000974275750124032,0.256678313222355,0.198,0.102,1
"Sumo1",0.0010025310740378,0.283783277143514,1,1,1
"Eea1",0.00109077818656604,0.399769758096389,0.991,0.961,1
"Rapgef6",0.00109737764957336,0.26340937051146,1,0.994,1
"Iqgap2",0.00112481466096352,0.292786397874441,0.502,0.346,1
"Tap2",0.0011598493247741,0.389098234304267,0.149,0.072,1
"Setd2",0.0011643103252395,0.267715822082723,0.988,0.97,1
"Agfg1",0.00119915740247454,0.33476956670076,0.997,0.985,1
"Hist1h4c",0.00126724469333008,-0.301387841182067,0.046,0.114,1
"Sp4",0.0015019902832349,0.251422466969451,0.192,0.102,1
"Gm13684",0.00160092119464141,0.407540796305903,0.167,0.087,1
"Traf3",0.00163093988878089,0.286146054490145,0.985,0.988,1
"Pde3b",0.00179405799964492,-0.320671252916775,0.285,0.41,1
"Ankrd33b",0.0017973147731745,0.343683945067954,0.523,0.407,1
"Tmem123",0.00183062300785191,0.441523840794317,0.226,0.136,1
"Fam111a",0.00187176290389676,-0.386005529999873,0.102,0.184,1
"Atp11b",0.00191649043160184,0.304171564146203,1,0.985,1
"Arih2",0.00192095326662221,0.274194925527098,0.988,0.964,1
"Abcb9",0.00192585857858458,0.352063368541187,0.149,0.075,1
"Lrrc8c",0.00197776801439107,0.313859025967152,0.362,0.253,1
"Zfp292",0.00216192103820691,0.345486504198068,1,0.982,1
"Rpgrip1",0.00217727884264474,-0.275300098219335,0.046,0.111,1
"Kcnq5",0.00245912415316911,0.375681844341194,0.975,0.907,1
"Gpatch2l",0.00255309515110712,0.27734063437233,0.121,0.054,1
"Tcf7",0.00288138767866779,-0.352918141822149,0.13,0.22,1
"Nrip1",0.0029361929563285,0.369099205787079,0.935,0.886,1
"Fancc",0.00293981935600663,0.293523483201318,0.127,0.06,1
"Rgs1",0.00323440016741723,0.42790981219763,0.52,0.413,1
"Fnbp1",0.00328924714177352,0.354315268417907,0.997,0.994,1
"Foxp1",0.00330247073898046,0.284437773558784,1,0.997,1
"Lag3",0.00335845184814102,0.629016756494157,0.229,0.148,1
"Map4k4",0.00336666991634576,0.322112416843865,1,0.997,1
"Ppp1r15a",0.00337378827343927,0.457154831522594,0.991,0.97,1
"Rab43",0.00346244001902266,0.292214535888808,0.978,0.952,1
"Rabgap1l",0.00356589909394566,0.261002316902315,0.768,0.56,1
"Cst3",0.00369466949003666,0.499129252079454,1,1,1
"Pear1",0.00392391457496778,0.279283049906717,0.13,0.063,1
"Hist1h4i",0.00396022804380087,-0.344234765922825,0.09,0.163,1
"Dnajb9",0.00402453855649522,0.31143652749277,0.969,0.931,1
"Sipa1",0.00405709855038841,0.267723644132994,0.254,0.16,1
"4933406I18Rik",0.00408245534597485,-0.307216919984265,0.046,0.105,1
"Ssh2",0.00415953999169973,0.278228989451836,0.994,0.982,1
"Hist2h2ac",0.0042846395685034,-0.265353876865153,0.17,0.268,1
"Fcer1g",0.00482821262125552,-0.424250689815857,0.988,0.967,1
"Gtpbp1",0.00483819694183601,0.326202841438477,0.31,0.214,1
"Rhoh",0.00489687053944517,0.367974942738513,0.458,0.367,1
"Itpkb",0.00491440939916266,0.345514784392116,0.978,0.973,1
"Kpna1",0.0050016081628656,0.301141317678388,0.991,0.985,1
"Raet1e",0.00506611191754334,-0.348207444342567,0.13,0.211,1
"Trbc1",0.00552465882772533,-0.290056368826082,0.322,0.431,1
"Ubash3b",0.00589271155278815,0.426601062707382,0.991,0.973,1
"Lcp2",0.00591797913188224,0.319872139709549,0.365,0.268,1
"Med11",0.00632901859911523,0.265689275004592,0.124,0.063,1
"Trp53inp1",0.00648096070673549,0.398103047565476,0.176,0.105,1
"Cytip",0.00650418194769294,0.412401430618045,0.533,0.449,1
"B4galt5",0.0070095079539681,0.25750734393444,0.985,0.955,1
"Smchd1",0.00729755714277511,0.253904448551109,0.997,0.991,1
"Nck2",0.00800897539049648,0.365385431668667,0.173,0.105,1
"Sh3rf1",0.00812043534953853,0.275537340473671,0.907,0.864,1
"Ppp1r21",0.00815946698658235,0.288125386796624,0.13,0.069,1
"Klrb1c",0.0095729544940277,-0.328148164395258,0.09,0.157,1
"Il2ra",0.00992946024449511,0.592074642513865,0.201,0.133,1
"Gm15283",0.0100733803825658,0.339442032496911,0.344,0.253,1
"Clnk",0.0104882705484477,-0.343968651175375,0.065,0.123,1
"Uhrf2",0.0107176009256003,0.26573913788004,0.994,0.979,1
"Nt5e",0.0108986838404483,0.359656565477849,0.108,0.054,1
"Klre1",0.0112942538974084,-0.383751895560471,0.09,0.157,1
"Plcl2",0.0118993878743146,0.32291280748959,0.334,0.25,1
"Fgf13",0.0120976645463281,-0.365215359216434,0.152,0.232,1
"Adamts6",0.0126810287641156,0.26157827915712,0.155,0.09,1
"Nfkb1",0.0128752294791753,0.387829820302557,0.997,0.994,1
"Eml4",0.013010168782134,0.305045213120592,0.988,0.988,1
"Dpp4",0.0139760131030795,0.280894793721507,0.142,0.081,1
"Irf7",0.0141846931838384,-0.263419990983047,0.093,0.157,1
"Inpp5d",0.0143273284804239,0.368271824114371,0.464,0.404,1
"Nr4a3",0.0143571354076601,0.409645611708353,0.985,0.979,1
"Tnfrsf4",0.0150619262598474,0.68588172071486,0.232,0.166,1
"Sp140",0.015469982346003,0.29145622706354,0.142,0.084,1
"Zcchc2",0.0159955761879705,0.338793775896074,0.149,0.09,1
"Cdc14a",0.0159970692408119,0.333539123094499,0.176,0.114,1
"Pdcd1",0.0160222953569764,0.354728505937892,0.186,0.12,1
"Atxn1",0.01606488695417,0.262196801831665,1,1,1
"Atxn7l1",0.0163554492388247,0.267516628055599,0.981,0.964,1
"Rel",0.0164628155512894,0.285362071913763,0.947,0.913,1
"Tnfaip3",0.0168992907727751,0.308793457453716,0.548,0.479,1
"Ly75",0.0171812513524365,0.363538687873648,0.152,0.093,1
"Tspan14",0.0180304133840523,0.358178595078497,0.207,0.142,1
"Slc43a2",0.0189691017135692,0.334527812897445,0.167,0.108,1
"Ncf4",0.0190587600836229,0.287576590096585,0.214,0.148,1
"Vav3",0.0196384794649686,0.307055891247516,0.229,0.163,1
"Slc15a3",0.0199148392404752,0.289854483996856,0.121,0.069,1
"Gimap7",0.0199602276025331,-0.279017050918815,0.276,0.349,1
"Il7r",0.0210905770628642,0.431106519161368,0.319,0.247,1
"Dusp5",0.0231297071018568,0.339322488881767,0.39,0.313,1
"Cd160",0.0234872254483226,-0.306694921693459,0.084,0.139,1
"Zfpm1",0.0241282524097145,-0.283016780991882,0.068,0.117,1
"Mapk8ip3",0.0257504506087356,0.258184022319934,0.13,0.078,1
"Atrnl1",0.0272356949295943,0.280808982864031,0.95,0.928,1
"Hspa1a",0.027363104229908,0.610387463911756,0.449,0.407,1
"Gm20275",0.0283915341074132,0.256535021682904,0.142,0.09,1
"Znrf3",0.0286113902024111,0.300727285521467,0.337,0.265,1
"Sdf4",0.0299155710748859,0.318925295535865,1,0.997,1
"Ptpn22",0.031293417484588,0.297407209982964,0.526,0.497,1
"Ccdc88c",0.0315515556812654,0.257554106997134,0.446,0.37,1
"Zfand2a",0.0317580096757414,0.257472717591392,0.173,0.114,1
"Hist1h2ae",0.0322204504736122,-0.281089166586804,0.991,0.991,1
"Tbc1d1",0.0343712541465893,0.259357413418236,0.994,0.979,1
"Cish",0.0353787731380408,0.307770727844569,0.204,0.148,1
"Bcl2a1b",0.0361071410128393,0.302108818053428,0.337,0.277,1
"Eif2ak3",0.0362388625852054,0.27290382029345,0.774,0.747,1
"Lrba",0.0374219674356973,0.28662202082066,0.96,0.964,1
"Ppp1r9b",0.0378387163163669,0.358113316236791,0.127,0.081,1
"Ccr2",0.0385627381270897,-0.330683650197417,0.248,0.31,1
"Sema4d",0.0389804874527187,0.369090374514139,0.399,0.346,1
"Runx2",0.0454450441694686,0.340107022156479,0.458,0.404,1
"Fermt3",0.0477989607766481,0.322001659686573,0.322,0.262,1
"Fry",0.0488411408997926,0.259007437899815,0.102,0.06,1
"Inpp4b",0.0508145453328227,0.37688442432821,0.988,0.994,1
"Plcl1",0.0510459457966771,0.451505328687164,0.127,0.084,1
"Cd8b1",0.0531659051767625,0.316595789342048,0.226,0.169,1
"Itk",0.054643249968289,0.441413584509668,0.591,0.572,1
"Atf7ip",0.0563158489606433,0.252672608043912,0.988,0.979,1
"Fli1",0.0575622785253732,0.278230438762255,0.505,0.464,1
"Sat1",0.0623662954209389,0.252561742873325,1,0.982,1
"Gem",0.0652770949556392,-0.47881801228125,0.319,0.377,1
"Etv3",0.0660135163802794,0.309182119785535,0.133,0.09,1
"Pag1",0.0662530383467279,0.280763983118968,0.415,0.349,1
"Tnfrsf18",0.0676611797616895,0.532999521369177,0.341,0.295,1
"Gzma",0.0696860047078808,-0.833951886135437,0.118,0.166,1
"Rnf213",0.0712247603828431,0.264805282437927,0.994,0.973,1
"Gm36723",0.0738527522548266,-0.314285126348636,0.136,0.187,1
"Il10",0.0759612291829005,0.29548798108259,0.124,0.081,1
"Isg20",0.0773014582644329,0.377551403269291,0.167,0.123,1
"Klrk1",0.0818134816295013,-0.254729457509176,0.161,0.211,1
"Btbd11",0.0823040069480461,-0.308484088581756,0.105,0.148,1
"Hist1h2ap",0.0866160627353436,-0.623533487911942,0.152,0.196,1
"Gata3",0.0887486384870718,0.374800866696527,0.204,0.16,1
"Hopx",0.0948784781707097,-0.272294929661741,0.127,0.172,1
"Birc3",0.0964745128495127,0.271379362568784,0.316,0.268,1
"Mreg",0.100896774566654,0.263558368112246,0.916,0.91,1
"Pfkfb3",0.101417834365657,0.293590333864269,0.18,0.136,1
"Elmo1",0.104887773450459,0.295271823762294,0.65,0.639,1
"Gm8369",0.10546419518988,-0.311612512192529,0.235,0.28,1
"Kif13b",0.10679836927114,0.251487719828706,0.851,0.831,1
"Dscam",0.112406356759879,-0.256043566542348,0.08,0.117,1
"Tnfrsf9",0.117031942090684,0.37748051299598,0.26,0.217,1
"Map3k14",0.122805559764402,0.445408762343833,0.146,0.108,1
"Plcg1",0.125527594083959,0.253025596179482,0.712,0.723,1
"Nr4a2",0.129628421768963,0.315919309643488,0.387,0.349,1
"Zfp318",0.13083462761498,0.28148926021767,0.142,0.108,1
"Tmem163",0.134088034533952,0.283653428616714,0.269,0.223,1
"Ctla4",0.134592894289778,0.429360089234807,0.443,0.386,1
"Jun",0.139391604023621,0.270467588849264,1,1,1
"Ncoa3",0.154327106909618,0.315387538520295,0.229,0.196,1
"Izumo1r",0.163629562735171,0.284761574489531,0.121,0.09,1
"Jakmip1",0.183094835031329,0.309967208947169,0.155,0.127,1
"Arhgap15",0.194212251313715,0.259340453360753,0.743,0.792,1
"Camk4",0.197815039263311,0.292350252849437,0.43,0.416,1
"Trim26",0.213372746594981,0.327527553464272,0.52,0.521,1
"Cd3d",0.230907354424539,0.287612188024929,0.563,0.572,1
"Bcl2",0.243182559953867,0.392953103470676,0.969,0.949,1
"Gm12840",0.25657733960362,0.266523819191375,0.124,0.096,1
"Tbc1d4",0.271998684530721,0.318881839591487,0.697,0.789,1
"Gfod1",0.288567441142678,0.366387050182679,0.183,0.157,1
"Ikzf2",0.292145386589186,0.490633272338235,0.35,0.325,1
"Neurl3",0.32598257074049,0.255782507517766,0.254,0.229,1
"Tox",0.347608770498444,0.356415466424583,0.362,0.346,1
"Cep85l",0.349943736846345,0.349560206765145,0.108,0.09,1
"Gm47283",0.389041220043982,0.265988682506111,1,1,1
"4930523C07Rik",0.42393564757706,0.275973873027671,0.446,0.443,1
"Chn2",0.425754854700128,-0.250974264059999,0.155,0.175,1
"Rftn1",0.435568538537479,0.33182982814631,0.238,0.223,1
"Il12rb2",0.464791365454506,0.286959130193777,0.195,0.184,1
"Plac8",0.466120723618223,0.277525918598877,0.241,0.229,1
"Dusp10",0.569408438539875,0.271426609053728,0.204,0.196,1
"Tyrobp",0.638146135447803,-0.482934638916469,0.96,0.849,1
"Ighm",0.807778550153284,-0.684255818611459,0.142,0.133,1
"Runx3",0.866105153411841,0.251094367152523,0.381,0.413,1
"Ccl5",0.877267106958719,-0.274339086409822,0.573,0.554,1
"Prf1",0.883925895890243,-0.350866103491775,0.17,0.169,1
